ID,MANUFACTURER,MODEL,CPU_BRAND,CPU_SERIES,CPU_MODEL,CORE_COUNT,CPU_GEN,RAM,GPU_BRAND,GPU,GPU_TECH,GPU_SERIES,VRAM,SCREEN_RESO,SCREEN_SIZE,TYPE,PRICE,STORAGE_TYPE,STORAGE_SIZE,TOTAL_STORAGE,BAT_CAP,IMG_1,IMG_2,IMG_3,MISC,IO,MODEL_DISPLAY,CPU_DISPLAY,GPU_DISPLAY,RAM_DISPLAY,STORAGE_DISPLAY,SCREEN_DISPLAY
19,Apple,Macbook Pro,Intel,i7,9750H,8,9,8,AMD,5600M,Radeon,55,2,4k,15,work|design|modeling,226000,SSD,1TB,1000,100|11,https://i.imgur.com/vxjQdx2.png,https://i.imgur.com/3rwwAWr.png,https://i.imgur.com/xdm8HQ4.png,Magic Keyboard|touchbar,,Apple Macbook Pro,Intel i7 9750H 8 core,AMD 5600M 2GB,8GB,SSD 1TB,15 inch 4k
20,HP,HP Spectre,Intel,i7,1185G7,4,11,16,INTEL,Iris Xe,None,None,None,1080p,14,work|design,133990,SSD,1TB,1000,56|16,https://i.imgur.com/yU49v8v.png,https://i.imgur.com/yU49v8v.png,https://i.imgur.com/XOL4L3V.png,performance|backlight|2 in 1|convertible|weight|light,,HP HP Spectre,Intel i7 1185G7 4 core,INTEL Iris Xe,16GB,SSD 1TB,14 inch 1080p
21,HP,Pavilion,Intel,i5,10210U,4,10,16,NVIDIA,Iris Xe,None,None,None,1080p,14,work,75000,SSD,1TB,1000,43|8,https://i.imgur.com/ShlNjwp.png,https://i.imgur.com/Iu5yWDC.png,https://i.imgur.com/IOoELpd.png,backlight|performance,,HP Pavilion,Intel i5 10210U 4 core,INTEL Iris Xe,16GB,SSD 1TB,14 inch 1080p
22,HP,Pavilion,Intel,i5,10210U,4,10,8,NVIDIA,GTX1650ti,GTX,16,4,1080p,15,gaming|modeling,69826,SSD,512GB,512,52|4,https://i.imgur.com/ShlNjwp.png,https://i.imgur.com/Iu5yWDC.png,https://i.imgur.com/IOoELpd.png,backlight|performance,,HP Pavilion,Intel i5 10210U 4 core,NVIDIA GTX1650ti 4GB,8GB,SSD 512GB,15 inch 1080p
23,HP,Dragonfly,Intel,i7,8565U,4,8,16,Intel,UHD630,None,None,None,1080p,14,work|design,117027,SSD,1TB,1000,56|16,https://i.imgur.com/dFK1qbq.png,https://i.imgur.com/1ST5Ubw.png,https://i.imgur.com/5gL54Oi.png,backlight|light,,HP Dragonfly,Intel i7 8565U 4 core,INTEL UHD630 ,16GB,SSD 1TB,14 inch 1080p
24,HP,Omen,AMD,Ryzen 5,4600H,4,4,8,NVIDIA,GTX1660ti,GTX,16,6,1080p,15,gaming|modeling,75000,SSD,512GB,512,70|7,https://i.imgur.com/i4zTQPZ.png,https://i.imgur.com/qHxz4fR.png,https://i.imgur.com/Rr567wC.png,cooling|backlight,,HP Omen,AMD Ryzen 5 4600H 4 core,NVIDIA GTX1660ti 6GB,8GB,SSD 512GB,15 inch 1080p
25,Lenovo,Legion 5i,Intel,i7,10300H,4,10,8,NVIDIA,GTX 1650,GTX,16,6,1080p,15,gaming|student|design|modeling,69000,SSD,512GB,512,60|4,https://i.imgur.com/gLdRm7J.png,https://i.imgur.com/ObMVp96.png,https://i.imgur.com/kIyZR8a.png,backlight,USB-C 3.2 Gen 1|Ethernet,Lenovo Legion 5i,Intel i7 10300H 4 core,NVIDIA GTX 1650 6GB,8GB,SSD 512GB,15 inch 1080p
26,Lenovo,Legion 5 Pro,AMD,Ryzen 7,5800H,4,5,16,NVIDIA,RTX 3060,RTX,30,8,1600p,16,gaming|design|modeling,147000,SSD,1TB,1000,80|4,https://i.imgur.com/L4HXR7t.png,https://i.imgur.com/GAETpbb.png,https://i.imgur.com/9Lr6Bct.png,Performance,,Lenovo Legion 5 Pro,AMD Ryzen 7 5800H 4 core,NVIDIA RTX 3060 8GB,16GB,SSD 1TB,16 inch 1600p
27,Lenovo,ThinkPad E14 Gen 2,Intel,i5,1135G7,4,11,4,INTEL,None,None,None,None,1080p,14,work,77000,SSD,256GB,256,45|3,https://i.imgur.com/XQKM7rF.png,https://i.imgur.com/sHhV2qQ.png,https://i.imgur.com/lNc2RqX.png,,USB 3.2 Gen 1|Thunderbolt4|Ethernet (RJ-45),Lenovo ThinkPad E14 Gen 2,Intel i5 1135G7 4 core,INTEL None NoneGB,4GB,SSD 256GB,14 inch 1080p
28,Lenovo,IdeaPad 5,AMD,Ryzen 7,5700U,6,5,16,AMD,5500M,Radeon,55,None,1080p,14,work|student,60000,SSD,512GB,512,56|3,https://i.imgur.com/ErOfi4Q.png,https://i.imgur.com/YwgJ8j5.png,https://i.imgur.com/10BoMwZ.png,,USB-A 3.1 (Gen 1),Lenovo IdeaPad 5,AMD Ryzen 7 5700U 6 core,AMD 5500M GB,16GB,SSD 512GB,14 inch 1080p
29,Lenovo,Yoga 7i,Intel,i5,1135G7,4,11,8,INTEL,Iris Xe,None,30,None,1080p,14,work|design,80000,SSD,512GB,1000,50|12,https://i.imgur.com/oj03ttG.png,https://i.imgur.com/RSPtXrl.png,https://i.imgur.com/N5oKaQ1.png,,,Lenovo Yoga 7i,Intel i5 1135G7 4 core,INTEL Iris Xe,GB,SSD 512GB,14 inch 1080p
